email_id,stock_mentions_wizardlm2:7b,stock_mentions_mistral,summary_wizardlm2:7b,summary_mistral
donoho-l/inbox/junk_file/252.,True,False,"A request to schedule a meeting at 9:00 to discuss the progress on a ten-year plan for TW (likely referring to 'Tesla, Inc.' by its stock ticker symbol), ","Discussion of 10-year plan for company TW at 9:00, reference to document EB 4070."
sanders-r/all_documents/3657.,False,True,"The sender is acknowledging a subordinate role and suggesting to schedule a meeting on Wednesday or Thursday, instructing to verify availability with an individual named Twanda whose contact information is provided (39402),",Appointment confirmation with 'Twanda' for a meeting on Wednesday and Thursday; potential discussion about unspecified matter (39402) possibly related to stocks or securities based on contextual inference.
hyatt-k/deleted_items/384.,True,False,"The provided text is a snapshot of a webpage from Energy Central, which is a platform for the energy sector. It includes a collection of news articles and stock information relevant to the industry. The first article discusses potential legal challenges for EOG Resources regarding water contamination in the Permian Basin. Another article covers Laclede Group's acquisition of Atmos Energy, highlighting the strategic move to expand its natural gas distribution network. The third article is an update on the US EIA's report on natural gas stocks for the week ending March 3, 2023, showing a decrease in storage levels. Lastly, Laclede Group Inc.'s stock performance is reported, with its shares rising after announcing the acquisition of Atmos Energy. The webpage also features a section for personalizing user experience, member services, advertising options, partnering opportunities, and contact information for the company. Additionally, it includes copyright and disclaimer information for the platform.",An analysis of recent news and articles from Energy Central's Electric Power News section.
kean-s/all_documents/4.,False,True,"Discussion regarding a merger call with specific reference numbers, likely an internal notification or update related to a corporate transaction.",Teleconference regarding merger
shackleton-s/sent/66.,True,False,"The email discusses following up on communications with NY Elec & Gas Corp. and Public Service Electric and Gas Company, specifically regarding a call to an attorney Adele Raspe that has not been returned and a previous conversation with NY Elec & Gas Corp. about a threshold issue.","Discussion about following up with Public Service Electric and Gas Company and New York Elec & Gas Corp., no explicit mention of stocks or stock prices."
taylor-m/all_documents/604.,False,True,"The email discusses Enron's strategy for engaging with policymakers regarding their electronic trading business, updates on the regulatory status of Blackbird's product, and the recent employment change of Stacey Carey affecting Ewing's awareness of OTC derivatives issues.",Discussion on sending EnronOnline brochures to policy makers and updates on Blackbird's electronic trading product
shackleton-s/all_documents/301.,True,False,"The Japanese Financial Reconstruction Commission will urge major Japanese banks to report any transactions with Credit Suisse that may be concealing bad loans or losses in their securities holdings, following a report by Deutsche Presse-Agentur.",Japan's Financial Reconstruction Commission urging banks to report on potential hiding of bad loans or losses in Credit Suisse Group transactions
lavorato-j/sent_items/419.,False,True,"Robert Downer, a former employee of Goldman Sachs in the C$ fixed income area, is reaching out to Mr. Lavorato at Enron to express interest in employment opportunities with the company, highlighting his experience and flexibility regarding location.","Employment Query: Robert Downer inquiring about job opportunities at Enron, mentioning his background in Goldman Sachs C$ fixed income effort and his interest in Enron."
kean-s/archiving/untitled/2262.,True,False,"Discussion on the performance of a mutual fund managed by Gordon Weil, with specific mentions of benchmarks and comparison to an index, 'is_discussing_stocks': True,","Meeting with Gordon Weil, Dave Marquart, and Richard Tabors."
dasovich-j/notes_inbox/708.,False,True,"In this issue of VentureWire, we cover a range of developments in the venture capital landscape. Notable events include the appointment of Michael DeVico as CEO at Xpede, a provider of online lender service applications. Hector Andres Negroni has taken over the CEO role at VideoChip Technologies, a digital imaging technology firm. Starting Point Partners has announced its first investment fund targeting early-stage infrastructure and technology companies. In executive shifts, Jim Noack steps down as CEO at Xpede but remains as chairman. Derek Wilkes of VideoChip has resigned, making way for Negroni to take the helm. Additionally, we correct the URL for GSVentures launched by the Goldman Sachs Group. For those interested in tracking startup companies that may eventually go public, ComputerLetter offers in-depth profiles and analysis. To subscribe or update your subscription details, visit our website. For any feedback, questions, or to submit news items, feel free to contact us at editor@venturewire.com.","Daily VentureWire newsletter featuring top stories including mergers, acquisitions, funding announcements for various tech companies"
taylor-m/all_documents/66.,False,True,"Justin Boyd of Enron Capital & Trade Resources Corp. is reporting the conclusion of two new short-term swap deals involving Light Fuel Oil and Brent Oil with German and Czech counterparties, respectively. The trades are structured as fixed and floating payments under an ISDA Master agreement.","Enron Capital & Trade Resources Corp. concluded two new swap deals: a Light Fuel Oil (Rheinscheine) swap with M.V.V, and a Brent Oil swap with MND. These trades were done under an ISDA Master with MND."
taylor-m/all_documents/234.,False,True,"Inga Kozerska forwarded a weekly update to a wide range of company legal and trading personnel, including ECT London European Trading, with no specific content mentioned in the email header or subject line.",Weekly update shared among ECT employees
kean-s/y2k/3.,True,False,"The email chain discusses Enron's Y2K preparedness and the potential impact of the Y2K bug on the energy industry, with a focus on Enron's filings with the SEC regarding their Y2K plan and the industry's response.",Email discusses potential Y2K issues and Enron's preparedness as mentioned in an article from Reuters.
buy-r/inbox/1202.,True,False,"This email discusses the ratification of Enron Corp. guaranty by specific individuals and mentions the holding of signed documents related to this process, with a reference to an individual named Marcus to receive these documents in the morning.","Enron Corp's Guaranty Ratification: Discussion of Enron Corp executives and their roles, pending receipt of signed documents."
